beta,eta,beta_log_x,log_x,log10_x,integral,integration_error,upper_bound,absolute_slack,bound_over_integral,relative_slack,integral_over_bound,valid_bound
0.010000000000000000000000,1.0000000000000000000000e-8,4.0000000000000000000000,400.00000000000000000000,173.71779276130073106045,0.0057825461792272264460735,2.1423127983746662397757e-12,57.241203725993555659369,57.235421179814328432923,9898.9617984586871986808,9897.9617984586871986808,0.00010102069493345296981539,True
0.010000000000000000000000,1.0000000000000000000000e-8,4.0100000000000000000000,401.00000000000000000000,174.15208724320398288810,0.0057300805626276445602505,3.8883472693495962264985e-9,56.502141963820751445740,56.496411883258123801180,9860.6191215417308636091,9859.6191215417308636091,0.00010141351041694506308071,True
0.010000000000000000000000,1.0000000000000000000000e-8,4.1000000000000000000000,410.00000000000000000000,178.06073758033324933696,0.0052800607352572282358412,3.0326836829991377086913e-9,50.284388630991097457973,50.279108570255840229738,9523.4489056575970421763,9522.4489056575970421763,0.00010500397596567455894680,True
0.010000000000000000000000,1.0000000000000000000000e-8,4.5000000000000000000000,450.00000000000000000000,195.43251685646332244301,0.0036914155183861752178658,3.8019088080560239471823e-11,30.175668002658325319519,30.171976587139939144301,8174.5519712856979789758,8173.5519712856979789758,0.00012233086333203891249438,True
0.010000000000000000000000,1.0000000000000000000000e-8,5.0000000000000000000000,500.00000000000000000000,217.14724095162591382556,0.0023951145621132250198571,6.2075908358583120616459e-10,16.173087306843852618164,16.170692192281739393144,6752.5318256903057767452,6751.5318256903057767452,0.00014809260079241030784476,True
0.010000000000000000000000,1.0000000000000000000000e-8,6.0000000000000000000000,600.00000000000000000000,260.57668914195109659068,0.0010748942349940676876940,3.2590951542448781058031e-16,4.8207257531271787758441,4.8196508588921847081564,4484.8372948560694730292,4483.8372948560694730292,0.00022297352930661728667542,True
0.010000000000000000000000,1.0000000000000000000000e-8,8.0000000000000000000000,800.00000000000000000000,347.43558552260146212090,0.00030766670518960390623420,1.3170167760812034885021e-10,0.47203397957094180124926,0.47172631286575219734302,1534.2380946942057490489,1533.2380946942057490489,0.00065178931709378095320899,True
0.010000000000000000000000,1.0000000000000000000000e-8,10.000000000000000000000,1000.0000000000000000000,434.29448190325182765113,0.00014211999039605149164345,4.1826303226574941540594e-12,0.050081619048186195968425,0.049939499057790144476781,352.38968781676479479647,351.38968781676479479647,0.0028377674902904051732730,True
0.010000000000000000000000,1.0000000000000000000000e-8,20.000000000000000000000,2000.0000000000000000000,868.58896380650365530226,0.000027978039675969739619177,1.5587812194492716572070e-11,0.000029415818663642008009080,1.4377789876722683899029e-6,1.0513895542476899394538,0.051389554247689939453810,0.95112225146229347749648,True
0.010000000000000000000000,1.0000000000000000000000e-8,40.000000000000000000000,4000.0000000000000000000,1737.1779276130073106045,6.5886278597482572649824e-6,7.3148463505792824894864e-20,6.6145833344227566870261e-6,2.5955474674499422043661e-8,1.0039394355284608753602,0.0039394355284608753601727,0.99607602272702117045975,True
0.010000000000000000000000,1.0000000000000000000000e-6,4.0000000000000000000000,400.00000000000000000000,173.71779276130073106045,0.0040956134302159355797812,1.3512761172593951153331e-13,0.57635244763070814863697,0.57225683420049221305719,140.72432797944037391376,139.72432797944037391376,0.0071060918489239372409607,True
0.010000000000000000000000,1.0000000000000000000000e-6,4.0100000000000000000000,401.00000000000000000000,174.15208724320398288810,0.0040599330744019679590642,6.8950496879998279241628e-16,0.56892647269326530117508,0.56486653961886333321602,140.13198303202786587513,139.13198303202786587513,0.0071361296569352408042363,True
0.010000000000000000000000,1.0000000000000000000000e-6,4.1000000000000000000000,410.00000000000000000000,178.06073758033324933696,0.0037536608574345133116526,4.1111598368831495625053e-11,0.50644630943513597847614,0.50269264857770146516449,134.92063579267336196846,133.92063579267336196846,0.0074117646579775702244651,True
0.010000000000000000000000,1.0000000000000000000000e-6,4.5000000000000000000000,450.00000000000000000000,195.43251685646332244301,0.0026682390679068591037512,5.2629001400390287811621e-13,0.30429905607691515714325,0.30163081700900829803950,114.04489940087235139983,113.04489940087235139983,0.0087684763216367991939010,True
0.010000000000000000000000,1.0000000000000000000000e-6,5.0000000000000000000000,500.00000000000000000000,217.14724095162591382556,0.0017745266621483699509554,1.5030032373033463954926e-9,0.16341494309043323333085,0.16164041642828486337989,92.089314055496533486809,91.089314055496533486809,0.010859023223882000619766,True
0.010000000000000000000000,1.0000000000000000000000e-6,6.0000000000000000000000,600.00000000000000000000,260.57668914195109659068,0.00084659269353178056386848,2.1758274194717665118838e-16,0.049013662288214441480855,0.048167069594682660916986,57.895210604454028450177,56.895210604454028450177,0.017272585928257551080873,True
0.010000000000000000000000,1.0000000000000000000000e-6,8.0000000000000000000000,800.00000000000000000000,347.43558552260146212090,0.00027676944628912800716591,2.4883490911233388520607e-15,0.0049916536629883019967695,0.0047148842166991739896036,18.035421647567833327278,17.035421647567833327278,0.055446444199703808627254,True
0.010000000000000000000000,1.0000000000000000000000e-6,10.000000000000000000000,1000.0000000000000000000,434.29448190325182765113,0.00013793849956280413948662,1.0116970978968353733762e-11,0.00063900479281031115968025,0.00050106629324750702019363,4.6325340266541673268946,3.6325340266541673268946,0.21586457740975229405139,True
