sample_type,H0,T,T_ratio,t0,sigma1,xi,zfr_R,L,log10_x,log_x_offset,number_low_zeros,slow,s1,low_weight_base,low_weight_tail,low_reciprocal_base,low_reciprocal_tail,low_error_base,low_error_tail,low_total,zfr_factor,high_weight_part,high_reciprocal_part,high_error_part,high_bracket,high_total,hybrid_zero_bound,ch_H0_zero_bound,ch_same_T_zero_bound,zero_ratio_H0,zero_ratio_same_T,truncation_H0,truncation_T,truncation_saving,ch_H0_combined,hybrid_combined,combined_ratio,combined_margin,hybrid_combined_wins,high_fraction
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,28.730691857155524903582172297,12.477580934825334753940929780,0.00099999999999999999999999999576,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000066396211105186349317822256099,7.1008926574657028496630874561e-19,1.3332627191086607831336380804e-8,1.2650407506276445159186462761e-31,1.2361776995219686849721567381e-17,1.7962267208408780255776750678e-30,0.000066409543732390507791914560659,0.83534979084096534995296226202,7.1556560263256733558899544415e-8,2.3836602808482384676057378482e-20,2.0818000954762051003066803127e-19,8.5660595175885730182547688552e-8,7.1556560263488750171255647309e-8,0.000066481100292653996542085816307,0.000065584091015500990600114116862,0.000065584091064586431210910876451,1.0136772388435023852236215837,1.0136772380848306845398493429,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000065584092062637342680514515541,0.000066481101339790338151122798895,1.0136772386251271053340652737,-8.9700927715299547060828335406e-7,False,0.0010763444038755715341858169652
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,28.739691857155524903582172298,12.481489585162464020389789940,0.010000000000000000000000000008,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000066098099409591415878735408077,7.0712248559150148280616931887e-19,1.3272765159315347951544601349e-8,1.2597296872983040810098714335e-31,1.2306273974199809343640095792e-17,1.7887157253745315634341920161e-30,0.000066111372174763744623146745904,0.83530271531951414696803543909,7.1552527746071021410405861124e-8,2.3835259514308928483579039799e-20,2.0816827771670054943759148707e-19,8.5660595175885730182547688552e-8,7.1552527746303024947636870602e-8,0.000066182924702510047648094382774,0.000065289625649913943718891081532,0.000065289625698778996092378227276,1.0136820979398168958511982199,1.0136820971811415584488301054,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000065289626697050295799291480211,0.000066182925749646389257131365363,1.0136820977203787810745775164,-8.9329905259609345783988515147e-7,False,0.0010811327554339606000757784322
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,28.829691857155524903582172298,12.520576088533756684878391543,0.10000000000000000000000000001,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000063189616589523301291222404903,6.7812430192476766465489705138e-19,1.2688730069267575746358463666e-8,1.2078244212463730255608653171e-31,1.1764766930083232426793973735e-17,1.7153026671005395036252481025e-30,0.000063202305319605011758200773203,0.83483210599018327936086751950,7.1512215070825345584521190224e-8,2.3821830735389940507857005754e-20,2.0805099576398147441995148430e-19,8.5660595175885730182547688552e-8,7.1512215071057218411020561639e-8,0.000063273817534676068976611793765,0.000062416717711143499119953096845,0.000062416717757858366138649349950,1.0137318951550627356215972108,1.0137318943963501282317693998,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000062416718758279851200353495524,0.000063273818581812410585648776353,1.0137318949246889294163667827,-8.5709982353255938529528082917e-7,False,0.0011302023152288265991003217806
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,29.229691857155524903582172297,12.694293881295057415938843110,0.50000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000051735282377049348127500010155,5.6290451930490950394524368914e-19,1.0388653525214675204263187054e-8,1.0017134668548340523898770282e-31,9.6321764884539816294895291687e-18,1.4236382869641673887663988083e-30,0.000051745671030584757883712033757,0.83274371477742462265542883813,7.1333322236580929292548883281e-8,2.3762238750818856656132326081e-20,2.0753054156936968193367528283e-19,8.5660595175885730182547688552e-8,7.1333322236812222072869071819e-8,0.000051817004352821570105784902829,0.000051102486296300325184725689197,0.000051102486334547223438880649738,1.0139820605279037861267415536,1.0139820597690039461725503129,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000051102487343436677265126087875,0.000051817005399957911714821885417,1.0139820602413984692969851053,-7.1451805652123444969579754183e-7,False,0.0013766392543865368764074838149
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,29.729691857155524903582172297,12.911441122246683329764407570,1.0000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000040291478427666284573096479666,4.4588965283247477700992501156e-19,8.0906915004946997283835325285e-9,7.9262571201637314734791428872e-32,7.5015465918899356455863445705e-18,1.1274873006422747516677524470e-30,0.000040299569119174726709069586816,0.83014057084130483585711024148,7.1110335377685133509800880707e-8,2.3687958361048088215061308941e-20,2.0688180431532705854490334522e-19,8.5660595175885730182547688552e-8,7.1110335377915703272477255854e-8,0.000040370679454552642412342064072,0.000039798656344454429558006930203,0.000039798656374241143868395161207,1.0143729251848955680486300766,1.0143729244257031912368534248,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000039798657391590781638407328882,0.000040370680501688984021379046660,1.0143729248067314815038528146,-5.7202311009820238297171777829e-7,False,0.0017614351885746257541964821483
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,30.729691857155524903582172297,13.345735604149935157415536489,2.0000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000024438016991529769628168199698,2.7954270808447772618407395725e-19,4.9072524533264462355832848158e-9,4.9590352506231547958996298175e-32,4.5499180032440595526870152360e-18,7.0660864596651765950897741692e-31,0.000024442924243987925535115112277,0.82495866969442264958361876220,7.0666450641302039833686588085e-8,2.3540093453693887829233596335e-20,2.0559040729570640470741837565e-19,8.5660595175885730182547688552e-8,7.0666450641531170334435988377e-8,0.000024513590694629456705449548265,0.000024139105288278328880866659500,0.000024139105306344884362218171993,1.0155136407036997190932365333,1.0155136399436535906636028222,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000024139106335414680961267058179,0.000024513591741765798314486530853,1.0155136400307291716505369455,-3.7448540635111735321947267442e-7,False,0.0028827458009655468982642749854
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,33.729691857155524903582172298,14.648619049859690640368923245,5.0000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,5.4528586450300868234176760707e-6,6.8463841696642307661518616489e-20,1.0949560257995051229567613567e-9,1.2079347643709840103204753790e-32,1.0152239327260710779225509569e-18,1.7289639227413703037384142075e-31,5.4539536010569700163150557304e-6,0.80960623855548440823650752864,6.9351352252548052955503749612e-8,2.3102013732820266931354394568e-20,2.0176438220283387884798708340e-19,8.5660595175885730182547688552e-8,6.9351352252772919351439403758e-8,5.5233049533097429356664951342e-6,5.3861624288133529162619969921e-6,5.3861624328445463341464527304e-6,1.0254620105332776679647810773,1.0254620097657858296302391947,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,5.3861634759497049966623956706e-6,5.5233060004460845447034777224e-6,1.0254620055831480595961154937,-1.3714252449637954804108205176e-7,False,0.012556133119395362455993397534
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,38.729691857155524903582172298,16.820091459375949778624567840,10.000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,4.4759789437360932570408609946e-7,6.4529427774726065373362012945e-21,8.9879463870982071678822111511e-11,1.1302908661449360861132166579e-33,8.3334655120768667434196817658e-20,1.6275894001192259659921119535e-32,4.4768777383757009537366318025e-7,0.78465112981330622024516492857,6.7213682785021051481158317705e-8,2.2389922796003314954771315016e-20,1.9554524522193096328568908281e-19,8.5660595175885730182547688552e-8,6.7213682785238986649176251983e-8,5.1490145662280908202283943223e-7,4.4212313555723946642869333196e-7,4.4212313588813997258840876198e-7,1.1646109764734249495805927238,1.1646109756017891307038398888,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,4.4212418269359154682909201050e-7,5.1490250375915069105982202040e-7,1.1646105866052507230711708661,-7.2778321065559144230730009903e-8,False,0.13053698318526286703980860224
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,48.729691857155524903582172298,21.163036278408468055135857029,20.000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,3.0158908891916348334187815589e-9,5.4706281942784304619306265059e-23,6.0560306386889430987537978571e-13,9.4857371064509359758585424412e-36,5.6150448939080559633381398079e-22,1.3774595958291325178809613070e-34,3.0164964922561199384999906758e-9,0.73702483325547637194638537950,6.3133985875867336922858384981e-8,2.1030912323102973202067471785e-20,1.8367615399710964718088261557e-19,8.5660595175885730182547688552e-8,6.3133985876072043989178597602e-8,6.6150482368328163927678588277e-8,2.9790022544541588362992788057e-9,2.9790022566837489087739955077e-9,22.205583184578316236891194581,22.205583167958876721272447439,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,2.9800493908062392366979573464e-9,6.6151529504669772964661176448e-8,22.198131919811157233710165631,-6.3171480113863533727963219102e-8,False,0.95439947851838534468982102022
boundary,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000100000000000000000000000,1.0000000000000000000000000000,5.5586910000000000000000000000,68.729691857155524903582172298,29.848925916473504608158435408,40.000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,1.3692123454061820572396627855e-13,3.5030590247816337296044525319e-27,2.7494336563593429220419465325e-17,6.0044074436050823650848362909e-40,2.5492264379662494556074341385e-26,8.8033414289912151057975060708e-39,1.3694872887721079447659115155e-13,0.65026915596075576204771211850,5.5702442923938589674966082988e-8,1.8555349817756241201171423882e-20,1.6205551324810914673700059446e-19,8.5660595175885730182547688552e-8,5.5702442924119200538031948376e-8,5.5702579872848077748826424967e-8,1.3524649311450283663438159948e-13,1.3524649321572606932386724744e-13,411859.69846692419580138420356,411859.69815867391069535013515,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,1.1823828451949032353129222523e-12,5.5703627009189686785809013138e-8,47111.328818380764294001315279,-5.5702444626344491882573700216e-8,False,0.99999754142933433563076241418
