T_ratio,delta_ratio,T,low_refined,low_coarse,low_weight,low_reciprocal,low_approximation_error,CH_same_T,CH_H0,same_height_ratio_refined,same_height_ratio_coarse,verified_height_context_ratio,Bphi_refined_used,number_low_zeros
1.0000000100000000000000000000,1.0000000000000000000000763575e-8,3.0001753628017533280000000000e12,113.63797866277670225792022018,115.08559405895660919015465606,113.61487365051734086684626545,0.023105012237938830864053323188,2.1422560209901410380051838225e-11,113.65511125027307430461630714,113.65511116520959133441198055,0.99984925809928032706090575058,1.0125861722622712045015929555,0.99984925884760268112969489770,True,22491
1.0000010000000000000000000000,1.0000000000000000000000006268e-6,3.0001783329753328000000000000e12,113.63798708386674861808341677,115.08560253328368588929344196,113.61488207160738724601681813,0.023105012237938832276357914947,2.1422539790240731669087054599e-11,113.65511967155383527848703441,113.65511116520959133441198055,0.99984925810877154274756410534,1.0125861717964287967481757168,0.99984933294097129452384351089,True,22491
1.0001000000000000000000000000,0.000099999999999999999999999999576,3.0004753503332800000000000000e12,113.63882915234827661736618280,115.08644992520210704032580663,113.61572414008891714584883699,0.023105012237938973492959389298,2.1420498024386416625187524433e-11,113.65596175910587123444186060,113.65511116520959133441198055,0.99984925905784065049745077433,1.0125861252146909765632105794,0.99985674192128810548250265104,True,22491
1.0010000000000000000000000000,0.0010000000000000000000000000005,3.0031755081328000000000000000e12,113.64648064216333098380614599,115.09414978574127516580540427,113.62337562990398877309977472,0.023105012237940256022829919793,2.1401954683541345328408225237e-11,113.66361342220264144583146129,113.65511116520959133441198055,0.99984926768098009625310910890,1.0125857019715264295104315903,0.99992406392499396720762915242,True,22491
1.0100000000000000000000000000,0.010000000000000000000000000000,3.0301770861280000000000000000e12,113.72263339897240260619246074,115.17078387171862671451798318,113.69952838671323134425181061,0.023105012237952957930939689223,2.1218304009710440315208598736e-11,113.73976790330973950834213088,113.65511116520959133441198055,0.99984935344380249696912888126,1.0125814918984659344057410650,1.0005940976439208320584507855,True,22491
1.1000000000000000000000000000,0.10000000000000000000000000000,3.3001928660800000000000000000e12,114.45014757496184327750510887,115.90288825696384182455862361,114.42704256270423045358169498,0.023105012238068745357990991923,1.9544078565422903093937731148e-11,114.46729852311611037617745090,113.65511116520959133441198055,0.99985016726719724630626353716,1.0125414834836677929626486426,1.0069951663554891373797218841,True,22491
2.0000000000000000000000000000,1.0000000000000000000000000000,6.0003506656000000000000000000e12,119.61046288847533797438510207,121.09535213878001848601002056,119.58735787622569035093351085,0.023105012238660255752318734000,1.0987367699272492035812561032e-11,119.62772900461625605897666858,113.65511116520959133441198055,0.99985566794350620991173984016,1.0122682520714501654886006161,1.0523984505598610522356718866,True,22491
3.0000000000000000000000000000,2.0000000000000000000000000000,9.0005259984000000000000000000e12,123.17503764876811259191396045,124.68173070630769868291192912,123.15193263652177419513642871,0.023105012238905817758506377210,7.4325790190253633539002756435e-12,123.19238187415763289613670259,113.65511116520959133441198055,0.99985921024396429301621709911,1.0120896179576384189725775291,1.0837615342236594394674238699,True,22491
10.000000000000000000000000000,9.0000000000000000000000000000,3.0001753328000000000000000000e13,134.06794917602237396899167820,135.63938563667271175614410840,134.04484416378079001019051282,0.023105012239258274200821703727,2.3256846003436728915616932784e-12,134.08552533606461903321872582,113.65511116520959133441198055,0.99986891828929190425994372737,1.0115885759981443361986426484,1.1796033438490996466931968362,True,22491
100.00000000000000000000000000,99.000000000000000000000000000,3.0001753328000000000000000000e14,156.18556635844977361907365230,157.88082388410829031121969580,156.16246134621012149583033758,0.023105012239401211927407600528,2.5091131590712646400222884336e-13,156.20358609102408042237962745,113.65511116520959133441198055,0.99988463944378456065176729969,1.0107375114429628893649060835,1.3742062698035437876229208242,True,22491
