sample_type,H0,T,T_ratio,t0,sigma1,sigma1_is_endpoint_limit,xi,zfr_R,L,log10_x,log_x_offset,number_low_zeros,slow,s1,low_weight_base,low_weight_tail,low_reciprocal_base,low_reciprocal_tail,low_error_base,low_error_tail,low_total,Bweight_t0_total,Bweight_t0_coarse_main,Bweight_t0_main,Bweight_t0_refinement_saving,Bweight_t0_endpoint,Bweight_t0_variation,Bweight_t0_refined_applied,Bweight_H0_total,Bweight_H0_coarse_main,Bweight_H0_main,Bweight_H0_refinement_saving,Bweight_H0_endpoint,Bweight_H0_variation,Bweight_H0_refined_applied,zfr_factor,high_weight_bracket,high_reciprocal_bracket,high_error_bracket,high_weight_part,high_reciprocal_part,high_error_part,high_bracket,high_total,hybrid_zero_bound,coarse_hybrid_zero_bound,refinement_gain,refinement_fraction,refined_over_coarse_hybrid,ch_H0_zero_bound,ch_same_T_zero_bound,ch_coarse_H0_zero_bound,ch_coarse_same_T_zero_bound,zero_ratio_H0,zero_ratio_coarse_H0,zero_ratio_same_T,log10_zero_ratio_H0,log10_zero_ratio_coarse_H0,truncation_H0,truncation_T,truncation_saving,ch_H0_combined,ch_coarse_H0_combined,hybrid_combined,combined_ratio,combined_ratio_coarse_CH,log10_combined_ratio,combined_margin,hybrid_combined_wins,high_fraction
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,28.730691857155524903582172297,12.477580934825334753940929780,0.00099999999999999999999999999576,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000065560872166838934949155092558,0.00000000000000000000000000000,1.3332627191086607831336380804e-8,0.00000000000000000000000000000,1.2361776995219686849721567381e-17,0.00000000000000000000000000000,0.000065574204794042383333981648626,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.83534979084096534995296226202,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,7.1556560263256733558859413675e-8,2.3836602808482384676057378482e-20,2.0818000954762051003066803127e-19,8.5660595175885730182499647911e-8,7.1556560263488750171215516569e-8,0.000065645761354305872084152864143,0.000066481100292653286452820027683,8.3533893834741436866716354025e-7,0.012565058861393818670375996559,0.98743494113860618132962400344,0.000065584091015500990600114116862,0.000065584091064586431210910876451,0.000066415567353486287636448645731,0.000066415567402880921338380046855,1.0009403246709679260501303290,0.98840925358533420890255903576,1.0009403239218289799419314410,0.00040818593221038568610530463807,-0.0050631973429688406810342477318,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000065584092062637342680514515541,0.000066415568400622639716849044410,0.000065645762401442213693189846731,1.0009403246559542453522019975,0.98840925376807873310759341340,0.00040818592569615250006603703586,-6.1670338804871012675331190027e-8,False,0.0010900408310794185615166737714
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,28.739691857155524903582172298,12.481489585162464020389789940,0.010000000000000000000000000008,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000065266511051332264520082421478,0.00000000000000000000000000000,1.3272765159315347951544601349e-8,0.00000000000000000000000000000,1.2306273974199809343640095792e-17,0.00000000000000000000000000000,0.000065279783816503886142008165888,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.83530271531951414696803543909,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,7.1552527746071021410365732645e-8,2.3835259514308928483579039799e-20,2.0816827771670054943759148707e-19,8.5660595175885730182499647911e-8,7.1552527746303024947596742123e-8,0.000065351336344250189166955762630,0.000066182924702509340525608749230,8.3158835825915135865298659944e-7,0.012564998630645609688277936301,0.98743500136935439031172206370,0.000065289625649913943718891081532,0.000065289625698778996092378227276,0.000066117368750462375912972237578,0.000066117368799635233134573374739,1.0009451837672824332860094740,0.98841405184916966795260457541,1.0009451830181398504592147149,0.00041029422332647191638070565702,-0.0050610890518527544507588467123,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000065289626697050295799291480211,0.000066117369797598727993372636256,0.000065351337391386530775992745218,1.0009451837521231070108928035,0.98841405203266240288487549582,0.00041029421674907701257079176193,-6.1710694336234976701265007418e-8,False,0.0010948900473800094770826310568
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,28.829691857155524903582172298,12.520576088533756684878391543,0.10000000000000000000000000001,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000062394620213105830863212858428,0.00000000000000000000000000000,1.2688730069267575746358463666e-8,0.00000000000000000000000000000,1.1764766930083232426793973735e-17,0.00000000000000000000000000000,0.000062407308943186863205889300124,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.83483210599018327936086751950,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,7.1512215070825345584481084354e-8,2.3821830735389940507857005754e-20,2.0805099576398147441995148430e-19,8.5660595175885730182499647911e-8,7.1512215071057218410980455769e-8,0.000062478821158257920424300280579,0.000063273817534675390852309827055,7.9499637641747042800954647551e-7,0.012564381404390458849662640646,0.98743561859560954115033735935,0.000062416717711143499119953096845,0.000062416717757858366138649349950,0.000063208038030872522716092304143,0.000063208038077881650394481552835,1.0009949809825282391394318743,0.98846322563819441819667382423,1.0009949802333483863251774440,0.00043189991982096744143507648378,-0.0050394833553582589257044758852,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000062416718758279851200353495524,0.000063208039078008874796492702821,0.000062478822205394262033337263168,1.0009949809658357367374340507,0.98846322582931829302093489344,0.00043189991257871166579756397422,-6.2103447114410832983767644079e-8,False,0.0011445832963128072820728306025
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,29.229691857155524903582172297,12.694293881295057415938843110,0.50000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000051084394395090805826551623849,0.00000000000000000000000000000,1.0388653525214675204263187054e-8,0.00000000000000000000000000000,9.6321764884539816294895291687e-18,0.00000000000000000000000000000,0.000051094783048625652678244341017,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.83274371477742462265542883813,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,7.1333322236580929292508877738e-8,2.3762238750818856656132326081e-20,2.0753054156936968193367528283e-19,8.5660595175885730182499647911e-8,7.1333322236812222072829066277e-8,0.000051166116370862464900317170084,0.000051817004352821007201265556390,6.5088798195854230094838630655e-7,0.012561281573258428536946095033,0.98743871842674157146305390497,0.000051102486296300325184725689197,0.000051102486334547223438880649738,0.000051750364577597978058883267178,0.000051750364616085796564549897738,1.0012451463553691389024210880,0.98871025911596328769517867042,1.0012451456060020535238033409,0.00054042380771034527656231566438,-0.0049309594674688810905772367049,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000051102487343436677265126087875,0.000051750365624734330139283665857,0.000051166117417998806509354152672,1.0012451463298547549357799571,0.98871025934440394644541201880,0.00054042379664336911557989132920,-6.3630074562129244228064796434e-8,False,0.0013941515850015609708281572733
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,29.729691857155524903582172297,12.911441122246683329764407570,1.0000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000039784566357625205384985140294,0.00000000000000000000000000000,8.0906915004946997283835325285e-9,0.00000000000000000000000000000,7.5015465918899356455863445705e-18,0.00000000000000000000000000000,0.000039792657049133201631305413762,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.83014057084130483585711024148,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,7.1110335377685133509761000221e-8,2.3687958361048088215061308941e-20,2.0688180431532705854490334522e-19,8.5660595175885730182499647911e-8,7.1110335377915703272437375368e-8,0.000039863767384511117334577851137,0.000040370679454552196522689190510,5.0691207004107918811133937286e-7,0.012556441379980782050574088025,0.98744355862001921794942591197,0.000039798656344454429558006930203,0.000039798656374241143868395161207,0.000040303224457263997535778018664,0.000040303224487238340726701298090,1.0016360110123607323965308635,0.98909623042149236161546879120,1.0016360102627011101603278463,0.00070992998657966284257241390873,-0.0047614532885995635245671384611,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000039798657391590781638407328882,0.000040303225504400349616178417342,0.000039863768431647458943614833725,1.0016360109693156352226706247,0.98909623070478787670404943301,0.00070992996791594870842897266812,-6.5111040056677305207504843428e-8,False,0.0017838337930284355308392089334
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,30.729691857155524903582172297,13.345735604149935157415536489,2.0000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,0.000024130559279271457227192380779,0.00000000000000000000000000000,4.9072524533264462355832848158e-9,0.00000000000000000000000000000,4.5499180032440595526870152360e-18,0.00000000000000000000000000000,0.000024135466531729333591431208123,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.82495866969442264958361876220,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,7.0666450641302039833646956541e-8,2.3540093453693887829233596335e-20,2.0559040729570640470741837565e-19,8.5660595175885730182499647911e-8,7.0666450641531170334396356834e-8,0.000024206132982370864761765604480,0.000024513590694629177162741423400,3.0745771225831240097581891983e-7,0.012542336864818219806614244867,0.98745766313518178019338575513,0.000024139105288278328880866659500,0.000024139105306344884362218171993,0.000024445141318610674589602245702,0.000024445141336791032739645824000,1.0027767265311645065852969820,0.99022266498177913876656503391,1.0027767257806511327312371875,0.0012042458522118602746715854591,-0.0042671374229673660924679669103,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,0.000024139106335414680961267058179,0.000024445142365747026670002644381,0.000024206134029507206370802587068,1.0027767264107117557033769664,0.99022266540060232660081840231,0.0012042458000447490352774723524,-6.7027694092525409535528889153e-8,False,0.0029193614152659983952580945302
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,33.729691857155524903582172298,14.648619049859690640368923245,5.0000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,5.3842555564550197204232383593e-6,0.00000000000000000000000000000,1.0949560257995051229567613567e-9,0.00000000000000000000000000000,1.0152239327260710779225509569e-18,0.00000000000000000000000000000,5.3853505124818344494789211918e-6,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.80960623855548440823650752864,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,6.9351352252548052955464855609e-8,2.3102013732820266931354394568e-20,2.0176438220283387884798708340e-19,8.5660595175885730182499647911e-8,6.9351352252772919351400509754e-8,5.4547018647346073688303217015e-6,5.5233049533096744718247594129e-6,6.8603088575067102994437711390e-8,0.012420659216717477144120562321,0.98757934078328252285587943768,5.3861624288133529162619969921e-6,5.3861624328445463341464527304e-6,5.4544482972725989430571320459e-6,5.4544483013291851686321671285e-6,1.0127250963607413248870557136,1.0000464881960903759466089200,1.0127250956027822411280885939,0.0054915723729411810351605907456,0.000020189097761954668021038376401,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,5.3861634759497049966623956706e-6,5.4544493444089510234575307245e-6,5.4547029118709489778673042897e-6,1.0127250938868243125423506504,1.0000464881871637275614332433,0.0054915713120328335269336752771,-6.8539435921243981204908619080e-8,False,0.012714050001731329184969642724
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,38.729691857155524903582172298,16.820091459375949778624567840,10.000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,4.4196660994232973539802906263e-7,0.00000000000000000000000000000,8.9879463870982071678822111511e-11,0.00000000000000000000000000000,8.3334655120768667434196817658e-20,0.00000000000000000000000000000,4.4205648940628405212482865341e-7,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.78465112981330622024516492857,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,6.7213682785021051481120622561e-8,2.2389922796003314954771315016e-20,1.9554524522193096328568908281e-19,8.5660595175885730182499647911e-8,6.7213682785238986649138556840e-8,5.0927017219152303877396721025e-7,5.1490145662280262908002424707e-7,5.6312844312795903060570368244e-9,0.010936625559800769244958836932,0.98906337444019923075504116307,4.4212313555723946642869333196e-7,4.4212313588813997258840876198e-7,4.4772838097574841067850845475e-7,4.4772838130873328542256201699e-7,1.1518740623008867222122851184,1.1374534066427834773873749994,1.1518740614387836579111084566,0.061404999019825025287299858991,0.055933615744645798920160306622,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,4.4212418269359154682909201050e-7,4.4772942811210049107890713329e-7,5.0927121932786464781094979842e-7,1.1518737025990919100495890505,1.1374530851707956046706084061,0.061404863400373106338451609459,-6.7147036634273100981857787922e-8,False,0.13198040343890727361096043877
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,48.729691857155524903582172298,21.163036278408468055135857029,20.000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,2.9779475931568978066554618084e-9,0.00000000000000000000000000000,6.0560306386889430987537978571e-13,0.00000000000000000000000000000,5.6150448939080559633381398079e-22,0.00000000000000000000000000000,2.9785531962213282054547279938e-9,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.73702483325547637194638537950,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,6.3133985875867336922822977835e-8,2.1030912323102973202067471785e-20,1.8367615399710964718088261557e-19,8.5660595175885730182499647911e-8,6.3133985876072043989143190456e-8,6.6112539072293372194597918450e-8,6.6150482368328109221361238200e-8,3.7943296034737026763319750500e-11,0.00057359061757807719562305967556,0.99942640938242192280437694032,2.9790022544541588362992788057e-9,2.9790022566837489087739955077e-9,3.0167701010009387403138313903e-9,3.0167701032445731778363772336e-9,22.192846270405774240901813781,21.915007394947925365187901600,22.192846253795867479858645633,1.3462130048124780729376052002,1.3407416215372988465704656479,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,2.9800493908062392366979573464e-9,3.0178172373530191407125099310e-9,6.6113586208634981231580506620e-8,22.185399481163713762491639474,21.907750207770824684400508375,1.3460672532420269597405771438,-6.3133536817828741994882549274e-8,False,0.95494722728824086850748689993
boundary_offset,3.0001753328000000000000000000e12,3.0001753628017533280000000000e12,1.0000000100000000000000000000,20000.000000000000000000000000,0.50000000000000000000000000000,True,1.0000000000000000000000000000,5.5586910000000000000000000000,68.729691857155524903582172298,29.848925916473504608158435408,40.000000000000000000000000000,22491,4.9273990504676354076693531890e12,0.023032850249880258685275725514,1.3519861156568397473142300197e-13,0.00000000000000000000000000000,2.7494336563593429220419465325e-17,0.00000000000000000000000000000,2.5492264379662494556074341385e-26,0.00000000000000000000000000000,1.3522610590227306042502308393e-13,4.9322878175101642478170592148e13,5.0013714315147539947450137278e13,4.9322488474415333551997853559e13,6.9122584073220639545228371856e11,3.8015083158993976010438464194e8,9.5498547189864126342038674603e6,True,40902.312226114374102132662093,40873.046425709686529914812433,40873.046425709686529914812433,0.00000000000000000000000000000,29.265800404050952445482079286,6.3661977236758134307559155236e-10,False,0.65026915596075576204771211850,8.5660595175607982327768605753e-8,2.8534876131932160519131295838e-20,2.4921297859910999710701716661e-19,5.5702442923938589674934843641e-8,1.8555349817756241201171423882e-20,1.6205551324810914673700059446e-19,8.5660595175885730182499647911e-8,5.5702442924119200538000709029e-8,5.5702578150225102811061134052e-8,5.5702579872848077745292126595e-8,1.7226229749342309925432751895e-15,3.0925371479497923123172307520e-8,0.99999996907462852050207687683,1.3524649311450283663438159948e-13,1.3524649321572606932386724744e-13,1.3696115069500695032230957960e-13,1.3696115079686779619852536778e-13,411859.68573001002325161991362,406703.49122771931812377264668,411859.68542175974767834042080,5.6147492837703145425872198672,5.6092779004951353162200803148,1.0471363520804003986785406528e-12,1.0471363416090369825881708269e-12,1.0471363416090369825882799511e-20,1.1823828451949032353129222523e-12,1.1840975027754073490008502324e-12,5.5703625286566711848043722223e-8,47111.327361472807672041685429,47043.106801596091125149785731,4.6731253406560238429927173248,-5.5702442903721516944808409300e-8,False,0.99999757235463073935670914466
