T_ratio,t0,zero_count,low_coefficient,CH_same_T,same_height_ratio
1.0000000100000000000000000000,1000.0000000000000000000000000,649,113.65190452884196988232634231,113.65511125027307430461630714,0.99997178550620532063720370737
1.0000000100000000000000000000,5000.0000000000000000000000000,4520,113.64011421998818837680064444,113.65511125027307430461630714,0.99986804790281836185270126021
1.0000000100000000000000000000,10000.000000000000000000000000,10142,113.63858749713067514730971284,113.65511125027307430461630714,0.99985461495782610959005769260
1.0000000100000000000000000000,20000.000000000000000000000000,22491,113.63797866277670225792022018,113.65511125027307430461630714,0.99984925809928032706090575058
2.0000000000000000000000000000,1000.0000000000000000000000000,649,119.62438875454060566482924355,119.62772900461625605897666858,0.99997207796132683001223553256
2.0000000000000000000000000000,5000.0000000000000000000000000,4520,119.61259844568682415600899804,119.62772900461625605897666858,0.99987351963415732787828390759
2.0000000000000000000000000000,10000.000000000000000000000000,10142,119.61107172282931091486578673,119.62772900461625605897666858,0.99986075735178168964160160459
2.0000000000000000000000000000,20000.000000000000000000000000,22491,119.61046288847533797438510207,119.62772900461625605897666858,0.99985566794350620991173984016
10.000000000000000000000000000,1000.0000000000000000000000000,649,134.08187504208764168056798668,134.08552533606461903321872582,0.99997277637561676806132738892
10.000000000000000000000000000,5000.0000000000000000000000000,4520,134.07008473323386017069348589,134.08552533606461903321872582,0.99988484511812845285858213899
10.000000000000000000000000000,10000.000000000000000000000000,10142,134.06855801037634692582154494,134.08552533606461903321872582,0.99987345893118779128981484286
10.000000000000000000000000000,20000.000000000000000000000000,22491,134.06794917602237396899167820,134.08552533606461903321872582,0.99986891828929190425994372737
100.00000000000000000000000000,1000.0000000000000000000000000,649,156.19949222451504133152166268,156.20358609102408042237962745,0.99997379146912380434444227473
100.00000000000000000000000000,5000.0000000000000000000000000,4520,156.18770191566125982160367386,156.20358609102408042237962745,0.99989831107108152779839501937
100.00000000000000000000000000,10000.000000000000000000000000,10142,156.18617519280374657657792282,156.20358609102408042237962745,0.99988853714145725155374089060
100.00000000000000000000000000,20000.000000000000000000000000,22491,156.18556635844977361907365230,156.20358609102408042237962745,0.99988463944378456065176729969
